Smile,emoticon_smile
Splashing sweat symbol,_2fd
Droplet,_4_qz
Dash symbol,_2fe
Flexed biceps,_2fg
Sparkles,_2hb
Eight pointed black star,_4_u6
Eight spoked asterisk,_4_u5
Medium white circle,_4_t7
Medium black circle,_4_t8
Large red circle,_4_r_
Large blue circle,_4_s0
Black square button,_4_rz
White square button,_4_r-
White medium star,_4_tr
White large square,_4_tq
Black large square,_4_tp
White small square,_4_s_
Black small square,_4_s-
White medium small square,_4_t2
Black medium small square,_4_t3
White medium square,_4_t0
Black medium square,_4_t1
Large orange diamond,_4_s1
Large blue diamond,_4_s2
Small orange diamond,_4_s3
Small blue diamond,_4_s4
Left-pointing magnifying glass,_4_rn
Right-pointing magnifying glass,_4_ro
Lock,_4_rs
Open lock,_4_rt
Lock with ink pen,_4_rp
Closed lock with key,_4_rq
Key,_4_rr
Bell,_2fr
Praying hands,_2g_
Raised hand,_2h5
Raised hands,_2gz
Raised fist,_2h4
Victory hand,_2h6
Fisted hand,_2e4
Thumbs up,_2e7
Pointing up,_2h0
Pointing up,_2e0
Pointing down,_2e1
Pointing left,_2e2
Pointing right,_2e3
Waving hand,_2e5
Clapping hands,_2e9
Ok hand,_2e6
Thumbs down,_2e8
Open hands,_2ea
