Large blue diamond,🔷
Small orange diamond,🔸
Small blue diamond,🔹
Left-pointing magnifying glass,🔍
Right-pointing magnifying glass,🔎
Lock,🔒
Open lock,🔓
Lock with ink pen,🔏
Closed lock with key,🔐
Key,🔑
Bell,🔔
Praying hands,🙏
Raised hand,✋
Raised hands,🙌
Raised fist,✊
Victory hand,✌
Fisted hand,👊
Thumbs up,👍
Pointing up,☝
Pointing up,👆
Pointing down,👇
Pointing left,👈
Pointing right,👉
Waving hand,👋
Clapping hands,👏
Ok hand,👌
Thumbs down,👎
Open hands,👐
